id,tested_positive
0,66.1421
1,82.60081
2,87.896515
3,90.99421
4,77.63844
5,79.1216
6,64.77107
7,63.596325
8,87.03083
9,93.17121
10,88.15447
11,90.63999
12,97.743355
13,91.73178
14,67.07458
15,71.67749
16,71.343414
17,92.79078
18,80.36768
19,85.814545
20,96.60074
21,74.08563
22,76.501175
23,73.53449
24,87.66168
25,74.36421
26,88.553345
27,69.46701
28,80.10843
29,49.61112
30,67.184
31,77.54768
32,78.80373
33,88.51729
34,90.84108
35,93.11489
36,75.06122
37,77.19767
38,83.02081
39,94.75027
40,56.313175
41,74.88283
42,85.53427
43,84.03439
44,81.57128
45,82.809875
46,84.03093
47,94.52338
48,87.36797
49,83.22728
50,90.40755
51,94.2624
52,85.389885
53,86.65478
54,85.19983
55,90.379326
56,72.700905
57,79.342606
58,78.88334
59,86.15488
60,35.41653
61,60.19415
62,91.4519
63,77.26866
64,55.37424
65,83.859276
66,88.33133
67,88.12878
68,96.399376
69,87.68955
70,89.68935
71,78.241905
72,82.76143
73,85.9748
74,53.666374
75,73.647804
76,91.79233
77,79.87231
78,72.73347
79,88.807205
80,88.807205
81,62.41737
82,88.273865
83,88.273865
84,91.84759
85,92.339165
86,92.339165
87,66.05024
88,89.486694
89,89.486694
90,85.50945
91,97.457344
92,97.457344
93,72.12062
94,84.02995
95,84.02995
96,92.09179
97,74.00547
98,92.10843
99,70.94377
100,97.679535
101,85.24262
102,90.598335
103,94.41701
104,87.534195
105,91.55278
106,91.18502
107,88.83444
108,86.920006
109,90.22453
110,85.87589
111,85.53748
112,95.90445
113,87.643425
114,82.70173
115,55.169697
116,85.72491
117,85.72855
118,87.07687
119,93.91669
120,80.92384
121,69.828636
122,79.69416
123,82.71509
124,95.79951
125,87.46202
126,91.62088
127,60.667892
128,89.25134
129,89.46634
130,91.36868
131,89.92157
132,87.84228
133,56.137917
134,89.140526
135,91.96514
136,88.459724
137,85.18076
138,92.36653
139,74.27703
140,82.37473
141,93.92617
142,71.2419
143,80.2291
144,91.34921
145,87.779106
146,81.72219
147,92.11268
148,42.219498
149,73.22381
150,92.1499
151,89.32278
152,77.829
153,83.228355
154,76.23697
155,58.35503
156,81.04694
157,54.75441
158,70.01278
159,93.66799
160,74.417946
161,84.48068
162,71.78678
163,66.90347
164,74.75308
165,87.159256
166,83.02307
167,65.975204
168,90.643936
169,71.70361
170,67.53142
171,76.06487
172,86.96196
173,84.77277
174,73.29058
175,74.805595
176,67.80621
177,62.402073
178,79.43889
179,79.53815
180,80.15782
181,79.04641
182,66.8651
183,75.59495
184,72.29604
185,83.60851
186,79.34155
187,78.08434
188,88.303085
189,66.01325
190,79.68388
191,85.688484
192,91.4219
193,59.957542
194,80.85723
195,74.30349
196,71.16667
197,65.227615
198,70.02832
199,84.54385
200,78.84392
201,74.38424
202,94.337494
203,68.5782
204,80.39375
205,73.578125
206,73.45152
207,73.19787
208,68.478516
209,81.930595
210,85.27526
211,73.355965
212,83.08759
213,69.95127
214,79.89193
215,79.8205
216,79.42335
217,85.02252
218,80.7759
219,72.69149
220,72.59737
221,78.18149
222,70.730446
223,79.20991
224,81.300255
225,79.38442
226,82.242195
227,76.939644
228,86.37451
229,86.34528
230,79.86166
231,75.34456
232,72.540054
233,71.34796
234,74.1567
235,65.01633
236,71.23677
237,84.43652
238,77.33992
239,76.42995
240,80.587074
241,87.82638
242,66.44599
243,75.3596
244,63.279373
245,84.816635
246,94.99113
247,91.05202
248,73.030754
249,78.56441
250,87.610985
251,83.447845
252,66.603836
253,83.25846
254,73.16131
255,69.382935
256,68.780136
257,68.08064
258,52.69475
259,58.14646
260,59.956684
261,66.69759
262,64.78317
263,76.62182
264,75.921455
265,67.083855
266,80.57323
267,77.99267
268,67.64778
269,74.980934
270,74.262115
271,64.60781
272,65.003876
273,73.74036
274,76.198784
275,78.01679
276,75.56502
277,48.41715
278,58.582165
279,59.89963
280,58.51284
281,61.42715
282,60.885437
283,63.348564
284,68.55108
285,74.74284
286,66.24202
287,49.40929
288,47.14406
289,67.88676
290,47.312473
291,58.21739
292,47.526043
293,46.108055
294,44.330853
295,55.316437
296,55.62575
297,48.06995
298,64.96165
299,49.66613
300,51.135796
301,40.34749
302,43.99571
303,47.196774
304,46.486137
305,41.33361
306,37.28958
307,55.724476
308,51.747894
309,58.764484
310,53.0988
311,52.14006
312,49.613804
313,54.871155
314,47.38268
315,56.74034
316,52.373997
317,50.707294
318,48.63704
319,40.166405
320,53.162052
321,50.200066
322,50.398632
323,52.66531
324,55.762173
325,47.835384
326,40.561333
327,46.0673
328,50.15996
329,47.60095
330,44.755993
331,47.81451
332,48.756374
333,72.24525
334,62.36621
335,64.375694
336,65.20404
337,64.80132
338,61.15785
339,50.93859
340,48.59986
341,48.47351
342,58.492348
343,62.809628
344,59.771793
345,59.325554
346,58.261444
347,83.13494
348,78.133514
349,77.03999
350,79.690765
351,80.94487
352,79.49864
353,79.814125
354,80.24703
355,81.9993
356,78.459366
357,75.18623
358,78.42653
359,80.71185
360,81.78244
361,77.89627
362,83.94353
363,79.50175
364,81.07224
365,81.334595
366,78.7884
367,82.06284
368,80.79705
369,81.825554
370,81.148026
371,79.067375
372,78.44432
373,82.002335
374,80.322105
375,79.538994
376,83.87249
377,86.97227
378,86.66971
379,87.72794
380,87.37529
381,89.663025
382,85.50635
383,85.0038
384,87.066414
385,83.32829
386,87.52127
387,90.0995
388,91.777145
389,50.426823
390,54.35502
391,54.52372
392,52.504917
393,52.1455
394,48.36937
395,49.2852
396,50.354546
397,55.260094
398,53.353374
399,55.25044
400,53.142807
401,49.97251
402,52.882492
403,49.19765
404,51.691055
405,52.017673
406,49.1299
407,51.22387
408,48.00588
409,50.6897
410,51.34697
411,49.98103
412,50.28115
413,50.20687
414,50.8007
415,56.296276
416,49.549267
417,48.51553
418,52.82305
419,50.848785
420,53.673332
421,49.47119
422,50.45207
423,50.130844
424,48.686317
425,49.421734
426,48.094368
427,49.246937
428,53.725952
429,47.718918
430,43.687313
431,46.66871
432,48.350163
433,44.871853
434,61.764618
435,61.62352
436,54.35246
437,49.51377
438,56.048676
439,53.73224
440,63.79421
441,53.503933
442,55.309074
443,57.265606
444,56.203323
445,63.40544
446,63.178432
447,63.73136
448,63.73136
449,51.72112
450,51.72112
451,64.36489
452,64.36489
453,62.70723
454,62.70723
455,64.513275
456,64.513275
457,62.808525
458,62.808525
459,64.121506
460,64.121506
461,62.855938
462,62.855938
463,56.721256
464,56.721256
465,64.034966
466,64.034966
467,63.4826
468,63.4826
469,62.57822
470,62.57822
471,56.600704
472,56.600704
473,53.374672
474,53.374672
475,63.310257
476,63.310257
477,63.27655
478,63.27655
479,68.60182
480,68.60182
481,53.20931
482,53.20931
483,56.366528
484,56.366528
485,40.091843
486,40.091843
487,47.969204
488,47.969204
489,49.850033
490,49.850033
491,50.217297
492,50.217297
493,44.496456
494,44.496456
495,53.988174
496,53.988174
497,45.192303
498,45.192303
499,53.3349
500,53.3349
501,52.82294
502,52.82294
503,40.245373
504,40.245373
505,50.777256
506,50.777256
507,36.20127
508,36.20127
509,51.478947
510,51.478947
511,40.585125
512,40.585125
513,49.024044
514,49.024044
515,37.77846
516,37.77846
517,43.35033
518,43.35033
519,51.26064
520,51.26064
521,42.188293
522,42.188293
523,42.45917
524,42.45917
525,48.370476
526,48.370476
527,41.37294
528,41.37294
529,36.848763
530,36.848763
531,50.373165
532,50.373165
533,39.37395
534,39.37395
535,35.90068
536,35.90068
537,30.043924
538,38.77271
539,34.830746
540,49.80276
541,50.064392
542,35.97522
543,48.907562
544,45.331097
545,35.94333
546,71.27552
547,50.04455
548,67.06333
549,50.3423
550,49.588093
551,50.30972
552,50.14706
553,46.511765
554,47.781555
555,38.12279
556,52.79073
557,48.83693
558,42.114273
559,50.930058
560,42.249424
561,50.754852
562,42.629143
563,50.844868
564,43.062267
565,68.08969
566,51.300255
567,42.773167
568,50.830345
569,59.459927
570,53.294014
571,50.442287
572,67.36751
573,48.54198
574,47.397022
575,32.194138
576,46.692104
577,36.762688
578,37.169136
579,34.275158
580,45.4172
581,46.073483
582,44.862103
583,45.859886
584,43.799877
585,47.281487
586,43.547623
587,31.683477
588,44.242184
589,45.592983
590,30.471785
591,43.757133
592,67.65807
593,76.33725
594,82.488144
595,69.138054
596,57.698093
597,51.158825
598,60.768772
599,64.57246
600,55.498283
601,48.03046
602,58.13736
603,56.48072
604,36.73634
605,78.58192
606,57.217377
607,54.79504
608,56.630157
609,43.964745
610,79.85473
611,50.576275
612,49.716892
613,55.54423
614,46.34087
615,44.927177
616,44.362305
617,43.19573
618,25.63415
619,41.175537
620,25.083147
621,37.994755
622,72.08684
623,48.775105
624,58.18201
625,62.981388
626,58.3765
627,57.905346
628,54.86789
629,54.86789
630,63.53631
631,63.53631
632,61.51508
633,61.51508
634,61.78783
635,61.78783
636,59.489796
637,59.489796
638,80.89661
639,80.89661
640,49.7974
641,49.7974
642,60.408634
643,60.408634
644,54.323593
645,49.73453
646,83.1352
647,48.67029
648,43.36781
649,41.31809
650,43.519627
651,55.7781
652,49.569572
653,48.30987
654,47.87204
655,41.097748
656,45.38446
657,80.560745
658,67.97614
659,54.24074
660,43.65779
661,43.65779
662,73.320656
663,73.320656
664,20.863142
665,20.863142
666,28.159159
667,28.159159
668,13.054082
669,13.054082
670,60.676323
671,60.676323
672,39.82334
673,39.82334
674,58.00157
675,58.00157
676,59.782955
677,59.782955
678,55.90348
679,55.90348
680,24.042707
681,24.042707
682,22.479433
683,22.479433
684,68.49631
685,68.49631
686,65.256355
687,65.256355
688,63.331367
689,52.11855
690,57.259293
691,49.624977
692,46.311913
693,48.89487
694,44.41214
695,66.93286
696,36.244354
697,34.435867
698,43.108624
699,42.878746
700,49.31661
701,39.85325
702,30.122675
703,63.977943
704,40.71707
705,31.444868
706,42.62372
707,31.6701
708,39.8077
709,36.10392
710,36.71504
711,30.030054
712,34.344425
713,35.551113
714,51.716892
715,33.67532
716,32.477234
717,39.731495
718,38.092045
719,30.307867
720,48.468754
721,28.981646
722,27.512945
723,27.860891
724,28.30517
725,45.30302
726,36.297623
727,46.90356
728,44.619415
729,36.54
730,27.94721
731,26.297571
732,61.450985
733,61.95348
734,62.52385
735,70.10101
736,69.51952
737,70.02629
738,69.08788
739,68.61645
740,96.31028
741,66.6259
742,76.143486
743,91.44495
744,95.705215
745,56.44456
746,68.11296
747,66.33916
748,53.55756
749,50.021923
750,52.965523
751,54.819378
752,53.846107
753,49.8403
754,47.537823
755,56.99376
756,51.35776
757,51.247536
758,55.410107
759,52.465492
760,59.790073
761,49.406513
762,53.408314
763,48.003513
764,47.362656
765,62.581924
766,62.271255
767,70.041245
768,71.26511
769,58.909042
770,67.32665
771,48.963306
772,49.97298
773,76.25008
774,80.68251
775,66.28183
776,60.73279
777,66.43607
778,64.25353
779,67.65694
780,66.58944
781,70.74179
782,67.129234
783,66.12475
784,68.63821
785,65.70159
786,69.53433
787,67.72331
788,68.136795
789,70.16038
790,67.18997
791,68.160385
792,71.49833
793,69.100006
794,69.47428
795,68.88067
796,65.49348
797,69.67899
798,69.33872
799,67.9776
800,68.86496
801,70.38955
802,70.24554
803,71.01984
804,69.256805
805,67.16687
806,71.196815
807,70.42674
808,69.812546
809,72.771324
810,70.26479
811,70.64296
812,72.799545
813,68.95347
814,71.97835
815,75.06213
816,71.450134
817,69.49171
818,70.76646
819,70.10522
820,70.02546
821,74.38721
822,70.66622
823,72.162025
824,70.52496
825,73.97475
826,71.67901
827,72.49712
828,72.27167
829,69.92315
830,73.871605
831,67.17761
832,71.86159
833,71.37003
834,70.65775
835,72.76888
836,70.52983
837,65.64408
838,68.700935
839,71.88443
840,74.76145
841,74.433655
842,73.083984
843,72.091194
844,72.35335
845,70.94488
846,70.137596
847,72.94272
848,68.88483
849,68.097435
850,69.389175
851,73.16169
852,66.52511
853,64.3305
854,66.33114
855,67.01983
856,78.88952
857,67.189316
858,67.721405
859,68.73312
860,68.18782
861,70.58781
862,67.51413
863,68.353516
864,68.833
865,71.95479
866,70.056274
867,71.8968
868,68.07299
869,70.255585
870,70.06275
871,72.00975
872,66.84483
873,71.30654
874,67.94918
875,72.69275
876,68.18586
877,72.98997
878,67.18339
879,66.326546
880,68.00394
881,62.7923
882,67.79845
883,71.34162
884,70.270226
885,69.31968
886,70.99966
887,68.26806
888,69.8421
889,64.26438
890,66.682
891,64.871475
892,69.53659
893,71.83037
894,112.23777
895,118.46629
896,71.336784
897,71.336784
898,69.418526
899,69.418526
900,68.60934
901,68.60934
902,71.241585
903,70.03626
904,73.35462
905,72.9834
906,66.289345
907,71.4187
908,72.14504
909,72.82348
910,62.20424
911,53.51249
912,60.92891
913,60.92891
914,60.347412
915,60.347412
916,57.247787
917,57.247787
918,64.6102
919,64.6102
920,65.53437
921,65.53437
922,60.419
923,60.419
924,61.46994
925,61.46994
926,69.115234
927,69.115234
928,63.562405
929,63.562405
930,61.79362
931,61.79362
932,65.96421
933,65.96421
934,55.849075
935,55.849075
936,58.699936
937,58.699936
938,65.14642
939,65.14642
940,60.977474
941,60.977474
942,63.34104
943,63.34104
944,53.15728
945,53.15728
946,56.526276
947,56.526276
948,62.587135
949,62.587135
950,52.593052
951,52.593052
952,62.04959
953,62.04959
954,54.12591
955,54.12591
956,71.50606
957,71.50606
958,46.44828
959,46.44828
960,49.3139
961,49.3139
962,49.033398
963,49.033398
964,49.402294
965,49.402294
966,51.589542
967,51.589542
968,53.63535
969,53.63535
970,51.86552
971,51.86552
972,41.678696
973,41.678696
974,38.73413
975,38.73413
976,54.35885
977,54.35885
978,33.128574
979,33.128574
980,36.803936
981,36.803936
982,34.840534
983,34.840534
984,43.29791
985,43.29791
986,45.57465
987,45.57465
988,52.979744
989,52.979744
990,41.733276
991,41.733276
992,23.634466
993,23.634466
994,41.749645
995,41.749645
996,35.134872
997,35.134872
998,82.00253
999,81.723175
